Zircon (50 gp, 0.1 lb)
Yellow Sapphire (1000 gp, 0.1 lb)
Velvet doublet with gold buttons (25gp, 0.1 lb)
Turquoise (10 gp, 0.1 lb)
Treasure chest crafted of exotic wood with gold fittings and opals (7500 gp, 0.1 lb)
Tourmaline (100 gp, 0.1 lb)
Topaz (500 gp, 0.1 lb)
Tiny jade figurine (25gp, 0.1 lb)
Tiger Eye (10 gp, 0.1 lb)
Big brass coin (2 gp, 0.1 lb)
Sun amulet on a beaded chain (25gp, 0.1 lb)
Platinum coin with sun symbol (1 pp, 0.1 lb)
Star Sapphire (1000 gp, 0.1 lb)
Star Ruby (1000 gp, 0.1 lb)
Star rose quartz (50 gp, 0.1 lb)
Spinel (100 gp, 0.1 lb)
Small mirror set in a painted wooden frame (25 gp, 0.1 lb)
Small gold statuette set with rubies (7500 gp, 0.1 lb)
Small gold idol (750 gp, 0.1 lb)
Small gold bracelet (25 gp, 0.1 lb)
Silver-plated steel longsword with jet set in hilt (750 gp, 0.1 lb)
Silver shoulder piece with amber and garnet (750 gp, 0.1 lb)
Silver necklace with an amber pendant (250 gp, 0.1 lb)
Silver necklace with a gemstone pendant (250 gp, 0.1 lb)
Silver medallion (25 gp, 0.1 lb)
Silver headdress with amber and red-coral feathers (750 gp, 0.1 lb)
Silver ewer (25 gp, 0.1 lb)
Silver chalice set with moonstones (750 gp, 0.1 lb)
Silver and gold brooch (750 gp, 0.1 lb)
Big silver coin (25cp, 0.05 lb)
Silver coin with person's head (1 sp, 0.02 lb)
Silk robe with gold embroidery (250 gp, 0.1 lb)
Shard (1sp, 0.1 lb)
Sardonyx (50 gp, 0.1 lb)
Ruby (5000 gp, 0.1 lb)
Rhodochrosite (10 gp, 0.1 lb)
Quartz (50 gp, 0.1 lb)
Platinum staff topped with amber (7500 gp, 0.1 lb)
Platinum ring with yellow sapphire (7500 gp, 0.1 lb)
Platinum headdress with topaz sun symbol (2500 gp, 0.1 lb)
Platinum bracelet set with a sapphire (2500 gp, 0.1 lb)
Big platinum coin with person's head (10 pp, 0.1 lb)
Platinum coin with person's head (1 pp 0.1 lb)
Platinum coin (1 pp 0.02 lb)
Pewter mug with green spinels (250 gp, 0.1 lb)
Peridot (500 gp, 0.1 lb)
Pearl (100 gp, 0.1 lb)
Pair of engraved bone dice (25gp, 0.1 lb)
Pair of engraved bone dice (25 gp, 0.1 lb)
Painted gold war mask (750 gp, 0.1 lb)
Painted gold child's sarcophagus (7500 gp, 0.1 lb)
Opal (1000 gp, 0.1 lb)
Onyx (50 gp, 0.1 lb)
Old masterpiece painting (2500 gp, 0.1 lb)
Obsidian statuette with gold fittings and inlay (750 gp, 0.1 lb)
Obsidian (10 gp, 0.1 lb)
Copper coin with dragon head (1cp, 0.02 lb)
Necklace string of small pink pearls (2500 gp, 0.1 lb)
Necklace of jade and pink pearls (2500 gp, 0.1 lb)
Necklace of electrum medallions with red and blue tournalines (750 gp, 0.1 lb)
Moss Agate (10 gp, 0.1 lb)
Moonstone (50 gp, 0.1 lb)
Masterpiece painting in mahogany frame with gold inlay (2500 gp, 0.1 lb)
Marble font with gold inlay (7500 gp, 0.1 lb)
Malachite (10 gp, 0.1 lb)
Lute crafted of exotic wood with mother-of-pearl inlay and zircon gems (750 gp, 0.1 lb)
Large well-made tapestry (250 gp, 0.1 lb)
Large well-made tapestry (250 gp, 0.1 lb)
Large jade totem (750 gp, 0.1 lb)
Large gold bracelet (250 gp, 0.1 lb)
Large gold bracelet (250 gp, 0.1 lb)
Lapis Lazuli (10 gp, 0.1 lb)
Jeweled platinum ring (7500 gp, 0.1 lb)
Jeweled gold crown (7500 gp, 0.1 lb)
Jeweled anklet (2,500 gp, 0.1 lb)
Jeweled anklet (2500 gp, 0.1 lb)
Jet (100 gp, 0.1 lb)
Jasper (50 gp, 0.1 lb)
Jade totem with diamond eyes (7500 gp, 0.1 lb)
Jade sword with amber (750 gp, 0.1 lb)
Jade headpiece (250 gp, 0.1 lb)
Jade game board with solid gold playing pieces (7500 gp, 0.1 lb)
